"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031647","BP","GO:0031647","regulation of protein stability","4/127","295/18862",0.138341675705593,0.410970548725122,0.381933710947887,"CCT5/HDAC8/TCP1/USP9X",4
"GO:0030838","BP","GO:0030838","positive regulation of actin filament polymerization","2/127","97/18862",0.138968769474094,0.410970548725122,0.381933710947887,"SPIRE2/ARPC2",2
"GO:0043502","BP","GO:0043502","regulation of muscle adaptation","2/127","97/18862",0.138968769474094,0.410970548725122,0.381933710947887,"ROCK1/UTRN",2
"GO:0046545","BP","GO:0046545","development of primary female sexual characteristics","2/127","97/18862",0.138968769474094,0.410970548725122,0.381933710947887,"ATM/PLEKHA1",2
"GO:0019217","BP","GO:0019217","regulation of fatty acid metabolic process","2/127","98/18862",0.141269381786681,0.410970548725122,0.381933710947887,"ERFE/AKT2",2
"GO:0060996","BP","GO:0060996","dendritic spine development","2/127","98/18862",0.141269381786681,0.410970548725122,0.381933710947887,"FOXO6/LPAR1",2
"GO:0110020","BP","GO:0110020","regulation of actomyosin structure organization","2/127","98/18862",0.141269381786681,0.410970548725122,0.381933710947887,"LPAR1/ROCK1",2
"GO:0071897","BP","GO:0071897","DNA biosynthetic process","3/127","194/18862",0.142937910397928,0.410970548725122,0.381933710947887,"CCT5/ATM/TCP1",3
"GO:0099003","BP","GO:0099003","vesicle-mediated transport in synapse","3/127","194/18862",0.142937910397928,0.410970548725122,0.381933710947887,"PRKCB/WNT3A/ROCK1",3
"GO:0006310","BP","GO:0006310","DNA recombination","4/127","299/18862",0.143207959576262,0.410970548725122,0.381933710947887,"MMS22L/KPNA1/ATM/RADX",4
"GO:0044728","BP","GO:0044728","DNA methylation or demethylation","2/127","99/18862",0.14357822778024,0.410970548725122,0.381933710947887,"ATRX/USP9X",2
"GO:0009219","BP","GO:0009219","pyrimidine deoxyribonucleotide metabolic process","1/127","23/18862",0.143992658759273,0.410970548725122,0.381933710947887,"SMUG1",1
"GO:0033032","BP","GO:0033032","regulation of myeloid cell apoptotic process","1/127","23/18862",0.143992658759273,0.410970548725122,0.381933710947887,"TCP1",1
"GO:0034105","BP","GO:0034105","positive regulation of tissue remodeling","1/127","23/18862",0.143992658759273,0.410970548725122,0.381933710947887,"ROCK1",1
"GO:0035268","BP","GO:0035268","protein mannosylation","1/127","23/18862",0.143992658759273,0.410970548725122,0.381933710947887,"DPY19L3",1
"GO:0035561","BP","GO:0035561","regulation of chromatin binding","1/127","23/18862",0.143992658759273,0.410970548725122,0.381933710947887,"BTAF1",1
"GO:0044458","BP","GO:0044458","motile cilium assembly","1/127","23/18862",0.143992658759273,0.410970548725122,0.381933710947887,"INTU",1
"GO:0044550","BP","GO:0044550","secondary metabolite biosynthetic process","1/127","23/18862",0.143992658759273,0.410970548725122,0.381933710947887,"MFSD12",1
"GO:0045943","BP","GO:0045943","positive regulation of transcription by RNA polymerase I","1/127","23/18862",0.143992658759273,0.410970548725122,0.381933710947887,"WDR75",1
"GO:0046628","BP","GO:0046628","positive regulation of insulin receptor signaling pathway","1/127","23/18862",0.143992658759273,0.410970548725122,0.381933710947887,"ERFE",1
"GO:0048026","BP","GO:0048026","positive regulation of mRNA splicing, via spliceosome","1/127","23/18862",0.143992658759273,0.410970548725122,0.381933710947887,"CIRBP",1
"GO:0048668","BP","GO:0048668","collateral sprouting","1/127","23/18862",0.143992658759273,0.410970548725122,0.381933710947887,"WNT3A",1
"GO:0050857","BP","GO:0050857","positive regulation of antigen receptor-mediated signaling pathway","1/127","23/18862",0.143992658759273,0.410970548725122,0.381933710947887,"PRKCB",1
"GO:0051043","BP","GO:0051043","regulation of membrane protein ectodomain proteolysis","1/127","23/18862",0.143992658759273,0.410970548725122,0.381933710947887,"ROCK1",1
"GO:0061339","BP","GO:0061339","establishment or maintenance of monopolar cell polarity","1/127","23/18862",0.143992658759273,0.410970548725122,0.381933710947887,"FSCN1",1
"GO:0070977","BP","GO:0070977","bone maturation","1/127","23/18862",0.143992658759273,0.410970548725122,0.381933710947887,"FAT4",1
"GO:0097066","BP","GO:0097066","response to thyroid hormone","1/127","23/18862",0.143992658759273,0.410970548725122,0.381933710947887,"BRD8",1
"GO:1902410","BP","GO:1902410","mitotic cytokinetic process","1/127","23/18862",0.143992658759273,0.410970548725122,0.381933710947887,"PDCD6IP",1
"GO:1903055","BP","GO:1903055","positive regulation of extracellular matrix organization","1/127","23/18862",0.143992658759273,0.410970548725122,0.381933710947887,"FSCN1",1
"GO:1903421","BP","GO:1903421","regulation of synaptic vesicle recycling","1/127","23/18862",0.143992658759273,0.410970548725122,0.381933710947887,"ROCK1",1
"GO:0043547","BP","GO:0043547","positive regulation of GTPase activity","5/127","411/18862",0.144516327705374,0.411881754351243,0.382780535975375,"AKT2/ARHGEF12/AFDN/DEPDC1/ARHGAP29",5
"GO:0007044","BP","GO:0007044","cell-substrate junction assembly","2/127","100/18862",0.145895094829244,0.413964050342216,0.384715708793942,"ROCK1/DST",2
"GO:0010972","BP","GO:0010972","negative regulation of G2/M transition of mitotic cell cycle","2/127","100/18862",0.145895094829244,0.413964050342216,0.384715708793942,"ATM/CDK1",2
"GO:1905269","BP","GO:1905269","positive regulation of chromatin organization","2/127","100/18862",0.145895094829244,0.413964050342216,0.384715708793942,"ATM/NSD3",2
"GO:0043393","BP","GO:0043393","regulation of protein binding","3/127","196/18862",0.146068704612067,0.413964050342216,0.384715708793942,"WNT3A/MARK3/ROCK1",3
"GO:0048732","BP","GO:0048732","gland development","5/127","413/18862",0.146592878269806,0.414866081058511,0.385554007158465,"WNT3A/DEAF1/ASXL1/AKT2/ATM",5
"GO:1901214","BP","GO:1901214","regulation of neuron death","4/127","302/18862",0.146901965044693,0.414899227658014,0.385584811808075,"EN1/WNT3A/ATM/SRPK2",4
"GO:0043523","BP","GO:0043523","regulation of neuron apoptotic process","3/127","197/18862",0.147642596326579,0.414899227658014,0.385584811808075,"EN1/ATM/SRPK2",3
"GO:0090068","BP","GO:0090068","positive regulation of cell cycle process","4/127","303/18862",0.148141589799954,0.414899227658014,0.385584811808075,"ATM/ATRX/CSPP1/CDK1",4
"GO:0014812","BP","GO:0014812","muscle cell migration","2/127","101/18862",0.148219772756168,0.414899227658014,0.385584811808075,"LPAR1/ROCK1",2
"GO:0050657","BP","GO:0050657","nucleic acid transport","3/127","198/18862",0.14922206720706,0.414899227658014,0.385584811808075,"WDR33/SRRM1/XPO1",3
"GO:0050658","BP","GO:0050658","RNA transport","3/127","198/18862",0.14922206720706,0.414899227658014,0.385584811808075,"WDR33/SRRM1/XPO1",3
"GO:0006309","BP","GO:0006309","apoptotic DNA fragmentation","1/127","24/18862",0.149763290551703,0.414899227658014,0.385584811808075,"KPNA1",1
"GO:0008334","BP","GO:0008334","histone mRNA metabolic process","1/127","24/18862",0.149763290551703,0.414899227658014,0.385584811808075,"ATM",1
"GO:0031338","BP","GO:0031338","regulation of vesicle fusion","1/127","24/18862",0.149763290551703,0.414899227658014,0.385584811808075,"AKT2",1
"GO:0032528","BP","GO:0032528","microvillus organization","1/127","24/18862",0.149763290551703,0.414899227658014,0.385584811808075,"FSCN1",1
"GO:0044068","BP","GO:0044068","modulation by symbiont of host cellular process","1/127","24/18862",0.149763290551703,0.414899227658014,0.385584811808075,"KPNA1",1
"GO:0050687","BP","GO:0050687","negative regulation of defense response to virus","1/127","24/18862",0.149763290551703,0.414899227658014,0.385584811808075,"PCBP2",1
"GO:0051788","BP","GO:0051788","response to misfolded protein","1/127","24/18862",0.149763290551703,0.414899227658014,0.385584811808075,"DNAJB14",1
"GO:0072010","BP","GO:0072010","glomerular epithelium development","1/127","24/18862",0.149763290551703,0.414899227658014,0.385584811808075,"ASXL1",1
"GO:0032231","BP","GO:0032231","regulation of actin filament bundle assembly","2/127","102/18862",0.150552053808596,0.414899227658014,0.385584811808075,"LPAR1/ROCK1",2
"GO:0036503","BP","GO:0036503","ERAD pathway","2/127","102/18862",0.150552053808596,0.414899227658014,0.385584811808075,"MARCHF6/DNAJB14",2
"GO:0044773","BP","GO:0044773","mitotic DNA damage checkpoint","2/127","102/18862",0.150552053808596,0.414899227658014,0.385584811808075,"ATM/CDK1",2
"GO:0043414","BP","GO:0043414","macromolecule methylation","4/127","305/18862",0.15063310675544,0.414899227658014,0.385584811808075,"SUZ12/TRMT13/ATRX/NSD3",4
"GO:0000819","BP","GO:0000819","sister chromatid segregation","3/127","199/18862",0.150807054360266,0.414899227658014,0.385584811808075,"ATM/ATRX/HDAC8",3
"GO:0006473","BP","GO:0006473","protein acetylation","3/127","200/18862",0.152397494928992,0.414899227658014,0.385584811808075,"BRD8/USP22/MORF4L2",3
"GO:0000018","BP","GO:0000018","regulation of DNA recombination","2/127","104/18862",0.155238606269907,0.414899227658014,0.385584811808075,"KPNA1/RADX",2
"GO:0030038","BP","GO:0030038","contractile actin filament bundle assembly","2/127","104/18862",0.155238606269907,0.414899227658014,0.385584811808075,"LPAR1/ROCK1",2
"GO:0043149","BP","GO:0043149","stress fiber assembly","2/127","104/18862",0.155238606269907,0.414899227658014,0.385584811808075,"LPAR1/ROCK1",2
"GO:0000244","BP","GO:0000244","spliceosomal tri-snRNP complex assembly","1/127","25/18862",0.155495324849395,0.414899227658014,0.385584811808075,"DDX20",1
"GO:0000729","BP","GO:0000729","DNA double-strand break processing","1/127","25/18862",0.155495324849395,0.414899227658014,0.385584811808075,"ATM",1
"GO:0002068","BP","GO:0002068","glandular epithelial cell development","1/127","25/18862",0.155495324849395,0.414899227658014,0.385584811808075,"PAX6",1
"GO:0002092","BP","GO:0002092","positive regulation of receptor internalization","1/127","25/18862",0.155495324849395,0.414899227658014,0.385584811808075,"WNT3A",1
"GO:0010447","BP","GO:0010447","response to acidic pH","1/127","25/18862",0.155495324849395,0.414899227658014,0.385584811808075,"SLC38A3",1
"GO:0017145","BP","GO:0017145","stem cell division","1/127","25/18862",0.155495324849395,0.414899227658014,0.385584811808075,"WNT3A",1
"GO:0021846","BP","GO:0021846","cell proliferation in forebrain","1/127","25/18862",0.155495324849395,0.414899227658014,0.385584811808075,"WNT3A",1
"GO:0022011","BP","GO:0022011","myelination in peripheral nervous system","1/127","25/18862",0.155495324849395,0.414899227658014,0.385584811808075,"AKT2",1
"GO:0032292","BP","GO:0032292","peripheral nervous system axon ensheathment","1/127","25/18862",0.155495324849395,0.414899227658014,0.385584811808075,"AKT2",1
"GO:0032682","BP","GO:0032682","negative regulation of chemokine production","1/127","25/18862",0.155495324849395,0.414899227658014,0.385584811808075,"SUZ12",1
"GO:0032878","BP","GO:0032878","regulation of establishment or maintenance of cell polarity","1/127","25/18862",0.155495324849395,0.414899227658014,0.385584811808075,"ROCK1",1
"GO:0048641","BP","GO:0048641","regulation of skeletal muscle tissue development","1/127","25/18862",0.155495324849395,0.414899227658014,0.385584811808075,"WNT3A",1
"GO:0051894","BP","GO:0051894","positive regulation of focal adhesion assembly","1/127","25/18862",0.155495324849395,0.414899227658014,0.385584811808075,"ROCK1",1
"GO:0062009","BP","GO:0062009","secondary palate development","1/127","25/18862",0.155495324849395,0.414899227658014,0.385584811808075,"WNT3A",1
"GO:0072202","BP","GO:0072202","cell differentiation involved in metanephros development","1/127","25/18862",0.155495324849395,0.414899227658014,0.385584811808075,"FAT4",1
"GO:0072207","BP","GO:0072207","metanephric epithelium development","1/127","25/18862",0.155495324849395,0.414899227658014,0.385584811808075,"FAT4",1
"GO:1900078","BP","GO:1900078","positive regulation of cellular response to insulin stimulus","1/127","25/18862",0.155495324849395,0.414899227658014,0.385584811808075,"ERFE",1
"GO:1902914","BP","GO:1902914","regulation of protein polyubiquitination","1/127","25/18862",0.155495324849395,0.414899227658014,0.385584811808075,"TRIP12",1
"GO:1902993","BP","GO:1902993","positive regulation of amyloid precursor protein catabolic process","1/127","25/18862",0.155495324849395,0.414899227658014,0.385584811808075,"SLC2A13",1
"GO:0043583","BP","GO:0043583","ear development","3/127","202/18862",0.155594485099768,0.414899227658014,0.385584811808075,"WNT3A/FAT4/CEP290",3
"GO:0060562","BP","GO:0060562","epithelial tube morphogenesis","4/127","309/18862",0.155664424868218,0.414899227658014,0.385584811808075,"WNT3A/DEAF1/FAT4/CEP290",4
"GO:0010389","BP","GO:0010389","regulation of G2/M transition of mitotic cell cycle","3/127","203/18862",0.157200909220324,0.417827414873598,0.38830610999615,"ATM/CEP290/CDK1",3
"GO:1902905","BP","GO:1902905","positive regulation of supramolecular fiber organization","3/127","203/18862",0.157200909220324,0.417827414873598,0.38830610999615,"LPAR1/SPIRE2/ARPC2",3
"GO:0006892","BP","GO:0006892","post-Golgi vesicle-mediated transport","2/127","105/18862",0.157592474096245,0.417827414873598,0.38830610999615,"MON2/SCFD1",2
"GO:0035601","BP","GO:0035601","protein deacylation","2/127","105/18862",0.157592474096245,0.417827414873598,0.38830610999615,"HDAC8/MORF4L2",2
"GO:0071902","BP","GO:0071902","positive regulation of protein serine/threonine kinase activity","4/127","311/18862",0.158203774011914,0.418551379932737,0.388978923808457,"LPAR1/TPD52L1/CCNT2/CDK1",4
"GO:0044774","BP","GO:0044774","mitotic DNA integrity checkpoint","2/127","106/18862",0.159953137838569,0.418551379932737,0.388978923808457,"ATM/CDK1",2
"GO:0072009","BP","GO:0072009","nephron epithelium development","2/127","106/18862",0.159953137838569,0.418551379932737,0.388978923808457,"ASXL1/FAT4",2
"GO:0150115","BP","GO:0150115","cell-substrate junction organization","2/127","106/18862",0.159953137838569,0.418551379932737,0.388978923808457,"ROCK1/DST",2
"GO:0007389","BP","GO:0007389","pattern specification process","5/127","426/18862",0.160399541841206,0.418551379932737,0.388978923808457,"EN1/WNT3A/INTU/HOXC6/ATM",5
"GO:0031396","BP","GO:0031396","regulation of protein ubiquitination","3/127","205/18862",0.160429302262655,0.418551379932737,0.388978923808457,"FANCI/HDAC8/TRIP12",3
"GO:0003156","BP","GO:0003156","regulation of animal organ formation","1/127","26/18862",0.161189017780548,0.418551379932737,0.388978923808457,"WNT3A",1
"GO:0009264","BP","GO:0009264","deoxyribonucleotide catabolic process","1/127","26/18862",0.161189017780548,0.418551379932737,0.388978923808457,"SMUG1",1
"GO:0033522","BP","GO:0033522","histone H2A ubiquitination","1/127","26/18862",0.161189017780548,0.418551379932737,0.388978923808457,"TRIP12",1
"GO:0033598","BP","GO:0033598","mammary gland epithelial cell proliferation","1/127","26/18862",0.161189017780548,0.418551379932737,0.388978923808457,"DEAF1",1
"GO:0036152","BP","GO:0036152","phosphatidylethanolamine acyl-chain remodeling","1/127","26/18862",0.161189017780548,0.418551379932737,0.388978923808457,"ABHD4",1
"GO:0046755","BP","GO:0046755","viral budding","1/127","26/18862",0.161189017780548,0.418551379932737,0.388978923808457,"PDCD6IP",1
"GO:0048843","BP","GO:0048843","negative regulation of axon extension involved in axon guidance","1/127","26/18862",0.161189017780548,0.418551379932737,0.388978923808457,"WNT3A",1
"GO:1901071","BP","GO:1901071","glucosamine-containing compound metabolic process","1/127","26/18862",0.161189017780548,0.418551379932737,0.388978923808457,"OGA",1
"GO:1904353","BP","GO:1904353","regulation of telomere capping","1/127","26/18862",0.161189017780548,0.418551379932737,0.388978923808457,"ATM",1
"GO:2000810","BP","GO:2000810","regulation of bicellular tight junction assembly","1/127","26/18862",0.161189017780548,0.418551379932737,0.388978923808457,"ROCK1",1
"GO:0017148","BP","GO:0017148","negative regulation of translation","3/127","206/18862",0.162051146073777,0.420248467617323,0.390556104945131,"CIRBP/ROCK1/TIA1",3
"GO:2001022","BP","GO:2001022","positive regulation of response to DNA damage stimulus","2/127","107/18862",0.162320401533449,0.420405667210667,0.390702197710736,"SPIRE2/ATM",2
"GO:0003401","BP","GO:0003401","axis elongation","1/127","27/18862",0.16684462378723,0.427225916338446,0.397040566888388,"WNT3A",1
"GO:0007064","BP","GO:0007064","mitotic sister chromatid cohesion","1/127","27/18862",0.16684462378723,0.427225916338446,0.397040566888388,"ATRX",1
"GO:0010971","BP","GO:0010971","positive regulation of G2/M transition of mitotic cell cycle","1/127","27/18862",0.16684462378723,0.427225916338446,0.397040566888388,"CDK1",1
"GO:0031069","BP","GO:0031069","hair follicle morphogenesis","1/127","27/18862",0.16684462378723,0.427225916338446,0.397040566888388,"INTU",1
"GO:0046386","BP","GO:0046386","deoxyribose phosphate catabolic process","1/127","27/18862",0.16684462378723,0.427225916338446,0.397040566888388,"SMUG1",1
"GO:0048799","BP","GO:0048799","animal organ maturation","1/127","27/18862",0.16684462378723,0.427225916338446,0.397040566888388,"FAT4",1
"GO:0050996","BP","GO:0050996","positive regulation of lipid catabolic process","1/127","27/18862",0.16684462378723,0.427225916338446,0.397040566888388,"AKT2",1
"GO:0000075","BP","GO:0000075","cell cycle checkpoint","3/127","209/18862",0.166946517584161,0.427225916338446,0.397040566888388,"ATM/WAC/CDK1",3
"GO:0006338","BP","GO:0006338","chromatin remodeling","3/127","209/18862",0.166946517584161,0.427225916338446,0.397040566888388,"MYSM1/ATRX/ARID1B",3
"GO:0098732","BP","GO:0098732","macromolecule deacylation","2/127","109/18862",0.167073956364613,0.427225916338446,0.397040566888388,"HDAC8/MORF4L2",2
"GO:0042471","BP","GO:0042471","ear morphogenesis","2/127","110/18862",0.169459866946981,0.432228516427036,0.40168971175327,"WNT3A/CEP290",2
"GO:0043434","BP","GO:0043434","response to peptide hormone","5/127","435/18862",0.170259427983126,0.432228516427036,0.40168971175327,"PRKCB/ERFE/AKT2/ARID1B/ROCK1",5
"GO:0046660","BP","GO:0046660","female sex differentiation","2/127","111/18862",0.171851616331489,0.432228516427036,0.40168971175327,"ATM/PLEKHA1",2
"GO:1902750","BP","GO:1902750","negative regulation of cell cycle G2/M phase transition","2/127","111/18862",0.171851616331489,0.432228516427036,0.40168971175327,"ATM/CDK1",2
"GO:0008406","BP","GO:0008406","gonad development","3/127","212/18862",0.171885342360172,0.432228516427036,0.40168971175327,"ATM/ATRX/PLEKHA1",3
"GO:0006516","BP","GO:0006516","glycoprotein catabolic process","1/127","28/18862",0.172462395636396,0.432228516427036,0.40168971175327,"OGA",1
"GO:0014044","BP","GO:0014044","Schwann cell development","1/127","28/18862",0.172462395636396,0.432228516427036,0.40168971175327,"AKT2",1
"GO:0031440","BP","GO:0031440","regulation of mRNA 3'-end processing","1/127","28/18862",0.172462395636396,0.432228516427036,0.40168971175327,"PAPOLA",1
"GO:0033028","BP","GO:0033028","myeloid cell apoptotic process","1/127","28/18862",0.172462395636396,0.432228516427036,0.40168971175327,"TCP1",1
"GO:0035883","BP","GO:0035883","enteroendocrine cell differentiation","1/127","28/18862",0.172462395636396,0.432228516427036,0.40168971175327,"PAX6",1
"GO:0046426","BP","GO:0046426","negative regulation of receptor signaling pathway via JAK-STAT","1/127","28/18862",0.172462395636396,0.432228516427036,0.40168971175327,"SUZ12",1
"GO:0050855","BP","GO:0050855","regulation of B cell receptor signaling pathway","1/127","28/18862",0.172462395636396,0.432228516427036,0.40168971175327,"PRKCB",1
"GO:0060795","BP","GO:0060795","cell fate commitment involved in formation of primary germ layer","1/127","28/18862",0.172462395636396,0.432228516427036,0.40168971175327,"WNT3A",1
"GO:0071480","BP","GO:0071480","cellular response to gamma radiation","1/127","28/18862",0.172462395636396,0.432228516427036,0.40168971175327,"ATM",1
"GO:0080111","BP","GO:0080111","DNA demethylation","1/127","28/18862",0.172462395636396,0.432228516427036,0.40168971175327,"USP9X",1
"GO:0140058","BP","GO:0140058","neuron projection arborization","1/127","28/18862",0.172462395636396,0.432228516427036,0.40168971175327,"ROCK1",1
"GO:0030326","BP","GO:0030326","embryonic limb morphogenesis","2/127","112/18862",0.1742490197999,0.43562254949975,0.404843941784018,"EN1/INTU",2
"GO:0035113","BP","GO:0035113","embryonic appendage morphogenesis","2/127","112/18862",0.1742490197999,0.43562254949975,0.404843941784018,"EN1/INTU",2
"GO:0006470","BP","GO:0006470","protein dephosphorylation","4/127","325/18862",0.176400028809731,0.43804127915519,0.407091777780897,"ANKLE2/PPP6R3/ROCK1/MTMR1",4
"GO:0006406","BP","GO:0006406","mRNA export from nucleus","2/127","113/18862",0.17665189481977,0.43804127915519,0.407091777780897,"WDR33/SRRM1",2
"GO:0008543","BP","GO:0008543","fibroblast growth factor receptor signaling pathway","2/127","113/18862",0.17665189481977,0.43804127915519,0.407091777780897,"TIA1/FAT4",2
"GO:0071427","BP","GO:0071427","mRNA-containing ribonucleoprotein complex export from nucleus","2/127","113/18862",0.17665189481977,0.43804127915519,0.407091777780897,"WDR33/SRRM1",2
"GO:0010390","BP","GO:0010390","histone monoubiquitination","1/127","29/18862",0.178042584430819,0.43804127915519,0.407091777780897,"WAC",1
"GO:0019048","BP","GO:0019048","modulation by virus of host process","1/127","29/18862",0.178042584430819,0.43804127915519,0.407091777780897,"KPNA1",1
"GO:0035115","BP","GO:0035115","embryonic forelimb morphogenesis","1/127","29/18862",0.178042584430819,0.43804127915519,0.407091777780897,"EN1",1
"GO:0051642","BP","GO:0051642","centrosome localization","1/127","29/18862",0.178042584430819,0.43804127915519,0.407091777780897,"CEP83",1
"GO:0060325","BP","GO:0060325","face morphogenesis","1/127","29/18862",0.178042584430819,0.43804127915519,0.407091777780897,"PLEKHA1",1
"GO:0060914","BP","GO:0060914","heart formation","1/127","29/18862",0.178042584430819,0.43804127915519,0.407091777780897,"WNT3A",1
"GO:0061311","BP","GO:0061311","cell surface receptor signaling pathway involved in heart development","1/127","29/18862",0.178042584430819,0.43804127915519,0.407091777780897,"WNT3A",1
"GO:0071168","BP","GO:0071168","protein localization to chromatin","1/127","29/18862",0.178042584430819,0.43804127915519,0.407091777780897,"HDAC8",1
"GO:1902430","BP","GO:1902430","negative regulation of amyloid-beta formation","1/127","29/18862",0.178042584430819,0.43804127915519,0.407091777780897,"ROCK1",1
"GO:0048675","BP","GO:0048675","axon extension","2/127","114/18862",0.179060061023786,0.439340452297198,0.408299158749754,"WNT3A/USP9X",2
"GO:0055007","BP","GO:0055007","cardiac muscle cell differentiation","2/127","114/18862",0.179060061023786,0.439340452297198,0.408299158749754,"WNT3A/NEBL",2
"GO:0045137","BP","GO:0045137","development of primary sexual characteristics","3/127","217/18862",0.180208738065781,0.439340452297198,0.408299158749754,"ATM/ATRX/PLEKHA1",3
"GO:0010506","BP","GO:0010506","regulation of autophagy","4/127","328/18862",0.180390346792918,0.439340452297198,0.408299158749754,"SCFD1/ATM/WAC/ROCK1",4
"GO:1990778","BP","GO:1990778","protein localization to cell periphery","4/127","329/18862",0.181727247880931,0.439340452297198,0.408299158749754,"WNT3A/AKT2/AFDN/ROCK1",4
"GO:0010810","BP","GO:0010810","regulation of cell-substrate adhesion","3/127","218/18862",0.181886665988288,0.439340452297198,0.408299158749754,"ARPC2/ROCK1/UTRN",3
"GO:0043254","BP","GO:0043254","regulation of protein-containing complex assembly","5/127","446/18862",0.18262563577351,0.439340452297198,0.408299158749754,"FSCN1/SPIRE2/ARPC2/ATM/TRAPPC12",5
"GO:0032388","BP","GO:0032388","positive regulation of intracellular transport","3/127","219/18862",0.183568867162435,0.439340452297198,0.408299158749754,"EMD/AKT2/CEP290",3
"GO:0051701","BP","GO:0051701","biological process involved in interaction with host","3/127","219/18862",0.183568867162435,0.439340452297198,0.408299158749754,"KPNA1/TCP1/CDK1",3
"GO:1902749","BP","GO:1902749","regulation of cell cycle G2/M phase transition","3/127","219/18862",0.183568867162435,0.439340452297198,0.408299158749754,"ATM/CEP290/CDK1",3
"GO:0005979","BP","GO:0005979","regulation of glycogen biosynthetic process","1/127","30/18862",0.183585439619971,0.439340452297198,0.408299158749754,"AKT2",1
"GO:0008209","BP","GO:0008209","androgen metabolic process","1/127","30/18862",0.183585439619971,0.439340452297198,0.408299158749754,"PLEKHA1",1
"GO:0010962","BP","GO:0010962","regulation of glucan biosynthetic process","1/127","30/18862",0.183585439619971,0.439340452297198,0.408299158749754,"AKT2",1
"GO:0034694","BP","GO:0034694","response to prostaglandin","1/127","30/18862",0.183585439619971,0.439340452297198,0.408299158749754,"PTGFR",1
"GO:0036258","BP","GO:0036258","multivesicular body assembly","1/127","30/18862",0.183585439619971,0.439340452297198,0.408299158749754,"PDCD6IP",1
"GO:0045737","BP","GO:0045737","positive regulation of cyclin-dependent protein serine/threonine kinase activity","1/127","30/18862",0.183585439619971,0.439340452297198,0.408299158749754,"CCNT2",1
"GO:0050901","BP","GO:0050901","leukocyte tethering or rolling","1/127","30/18862",0.183585439619971,0.439340452297198,0.408299158749754,"ROCK1",1
"GO:0061842","BP","GO:0061842","microtubule organizing center localization","1/127","30/18862",0.183585439619971,0.439340452297198,0.408299158749754,"CEP83",1
"GO:0070168","BP","GO:0070168","negative regulation of biomineral tissue development","1/127","30/18862",0.183585439619971,0.439340452297198,0.408299158749754,"ROCK1",1
"GO:0090314","BP","GO:0090314","positive regulation of protein targeting to membrane","1/127","30/18862",0.183585439619971,0.439340452297198,0.408299158749754,"AKT2",1
"GO:0110110","BP","GO:0110110","positive regulation of animal organ morphogenesis","1/127","30/18862",0.183585439619971,0.439340452297198,0.408299158749754,"WNT3A",1
"GO:0150117","BP","GO:0150117","positive regulation of cell-substrate junction organization","1/127","30/18862",0.183585439619971,0.439340452297198,0.408299158749754,"ROCK1",1
"GO:1902751","BP","GO:1902751","positive regulation of cell cycle G2/M phase transition","1/127","30/18862",0.183585439619971,0.439340452297198,0.408299158749754,"CDK1",1
"GO:0090630","BP","GO:0090630","activation of GTPase activity","2/127","116/18862",0.183891556217877,0.439550991434189,0.408494822390713,"AKT2/ARHGAP29",2
"GO:0018215","BP","GO:0018215","protein phosphopantetheinylation","4/127","331/18862",0.184411065574917,0.439975503645242,0.408889340987272,"MYSM1/USP22/RABGGTB/USP9X",4
"GO:0051495","BP","GO:0051495","positive regulation of cytoskeleton organization","3/127","220/18862",0.18525528056432,0.439975503645242,0.408889340987272,"LPAR1/SPIRE2/ARPC2",3
"GO:0048706","BP","GO:0048706","embryonic skeletal system development","2/127","117/18862",0.186314535115434,0.439975503645242,0.408889340987272,"DEAF1/HOXC6",2
"GO:0045444","BP","GO:0045444","fat cell differentiation","3/127","221/18862",0.186945845310283,0.439975503645242,0.408889340987272,"WNT3A/ASXL1/AKT2",3
"GO:0042752","BP","GO:0042752","regulation of circadian rhythm","2/127","118/18862",0.188742104971986,0.439975503645242,0.408889340987272,"USP9X/CDK1",2
"GO:0043500","BP","GO:0043500","muscle adaptation","2/127","118/18862",0.188742104971986,0.439975503645242,0.408889340987272,"ROCK1/UTRN",2
"GO:0045931","BP","GO:0045931","positive regulation of mitotic cell cycle","2/127","118/18862",0.188742104971986,0.439975503645242,0.408889340987272,"USP22/CDK1",2
"GO:0051101","BP","GO:0051101","regulation of DNA binding","2/127","118/18862",0.188742104971986,0.439975503645242,0.408889340987272,"WNT3A/PAX6",2
"GO:0000737","BP","GO:0000737","DNA catabolic process, endonucleolytic","1/127","31/18862",0.189091209010809,0.439975503645242,0.408889340987272,"KPNA1",1
"GO:0003180","BP","GO:0003180","aortic valve morphogenesis","1/127","31/18862",0.189091209010809,0.439975503645242,0.408889340987272,"ROCK1",1
"GO:0010259","BP","GO:0010259","multicellular organism aging","1/127","31/18862",0.189091209010809,0.439975503645242,0.408889340987272,"ATM",1
"GO:0034243","BP","GO:0034243","regulation of transcription elongation from RNA polymerase II promoter","1/127","31/18862",0.189091209010809,0.439975503645242,0.408889340987272,"TCERG1",1
"GO:0036257","BP","GO:0036257","multivesicular body organization","1/127","31/18862",0.189091209010809,0.439975503645242,0.408889340987272,"PDCD6IP",1
"GO:0045070","BP","GO:0045070","positive regulation of viral genome replication","1/127","31/18862",0.189091209010809,0.439975503645242,0.408889340987272,"SRPK2",1
